Monte Carlo initialized
	Thrust varience frequency: 50
	Thrust varience: 100
	Drag deviation: 0.016

Wind:
Pink wind
----------------
alpha: 6.993
alt0: 30.000
speed0: 5.000
direction: 1.858

Iteration           Delta [ms]          Time [ms]           Apogee [m]          
--------------------------------------------------------------------------------
1:                  2722                2722                3266.01             
2:                  2877                5599                3187.51             
3:                  2632                8231                3270.75             
4:                  2633                10864               3158.54             
5:                  2808                13673               3049.97             
6:                  2916                16590               3140.12             
7:                  2831                19421               3297.56             
8:                  2885                22307               3176.06             
9:                  2786                25093               3174.59             
10:                 2695                27789               3341.7              
11:                 2675                30464               3142.69             
12:                 2660                33125               3181.85             
13:                 2777                35902               3202.01             
14:                 2675                38577               3283.85             
15:                 2675                41252               3298.22             
16:                 2686                43939               3106.52             
17:                 2803                46743               3214.02             
18:                 2675                49418               3262.06             
19:                 2679                52098               3368.74             
20:                 2675                54773               3082.34             
21:                 2799                57573               3154.37             
22:                 2695                60268               3194.01             
23:                 2675                62943               3253.45             
24:                 2871                65815               3198.21             
25:                 2696                68511               3191.2              
26:                 2659                71171               3296.39             
27:                 2656                73828               3179.98             
28:                 2725                76553               3142.0              
29:                 2647                79201               3298.82             
30:                 2647                81849               3348.4              
31:                 2643                84493               3243.47             
32:                 2760                87253               3163.36             
33:                 2655                89909               3270.91             
34:                 2624                92533               3193.28             
35:                 2769                95302               3130.05             
36:                 2839                98142               3130.24             
37:                 2667                100809              3181.91             
38:                 2671                103480              3253.19             
39:                 2756                106237              3154.3              
40:                 2738                108976              3071.36             
41:                 2683                111675              3209.84             
42:                 2628                114304              3047.64             
43:                 4375                118679              3130.42             
44:                 3118                121797              3189.27             
45:                 2895                124692              3308.86             
46:                 2703                137733              3164.61             
47:                 2655                140388              3017.25             
48:                 2691                143080              3155.84             
49:                 2809                145889              3220.04             
50:                 2643                148533              3233.0              
51:                 2620                151153              3159.94             
52:                 2931                154085              3254.35             
53:                 2847                156932              3204.25             
54:                 2718                159650              3085.93             
55:                 4593                164244              3301.96             
56:                 3313                167557              3183.78             
57:                 2948                170506              3114.89             
58:                 2977                173483              3147.17             
59:                 2935                176419              3252.64             
60:                 2814                179233              3218.74             
61:                 2689                181922              3226.49             
62:                 2826                184749              3156.12             
63:                 2883                187633              3226.73             
64:                 2741                190374              3240.97             
65:                 2687                193062              3100.42             
66:                 2887                195949              3096.5              
67:                 2738                198688              3139.91             
68:                 2800                201488              3166.81             
69:                 2671                204159              3023.6              
70:                 2863                207023              3082.29             
71:                 2881                209905              3172.96             
72:                 2679                212584              3301.57             
73:                 2751                215336              3242.15             
74:                 2660                217996              3021.4              
75:                 2659                220656              3127.12             
76:                 2847                223504              3101.81             
77:                 3544                227048              3235.99             
78:                 2676                229724              3223.84             
79:                 2722                232446              3175.1              
80:                 2803                235250              3114.25             
81:                 3112                238363              3093.57             
82:                 2785                241148              3115.42             
83:                 3213                244362              3195.11             
84:                 2818                247180              3321.03             
85:                 2682                249863              3216.0              
86:                 2667                252530              3228.19             
87:                 3047                255578              3133.75             
88:                 2932                258510              3126.74             
89:                 2753                261263              3185.22             
90:                 2644                263908              3306.82             
91:                 2759                266667              3204.63             
92:                 2640                269307              3276.45             
93:                 2671                271979              3222.67             
94:                 2646                274625              3189.2              
95:                 2765                277390              3172.94             
96:                 2655                280046              3348.35             
97:                 2639                282686              3158.19             
98:                 2806                285508              3081.98             
99:                 2663                288171              3222.16             
100:                2659                290830              3051.13             
101:                2671                293502              3220.21             
102:                2768                296271              3168.18             
103:                2644                298915              3127.79             
104:                2991                301907              3296.31             
105:                3358                305265              3220.6              
106:                2706                307972              3236.3              
107:                2686                310658              3069.94             
108:                2796                313454              3148.32             
109:                2956                316411              3212.35             
110:                2674                319086              3125.85             
111:                2659                321745              3135.11             
112:                2684                324430              3160.03             
113:                2784                327214              3264.64             
114:                2655                329870              3209.86             
115:                2647                332518              3179.49             
116:                2737                335255              3166.54             
117:                2725                337981              3207.23             
118:                2718                340699              3185.15             
119:                2706                343406              3091.64             
120:                2995                346401              3178.02             
121:                2749                349151              3172.79             
122:                2710                351861              3166.66             
123:                2686                370768              3143.47             
124:                2742                373511              3247.07             
125:                2890                376401              3091.13             
126:                2655                379057              3241.27             
127:                2662                381719              3197.25             
128:                2628                384347              3182.94             
129:                2803                387151              3252.67             
130:                2650                389801              3196.93             
131:                2659                392460              3234.66             
132:                2639                395100              3287.33             
133:                2741                397842              3145.48             
134:                2630                400473              3212.45             
135:                2694                403168              3247.33             
136:                2753                405921              3270.62             
137:                2659                408581              3063.46             
138:                2645                411226              3238.99             
139:                2624                413851              3134.0              
140:                2817                416668              3170.36             
141:                2629                419297              3183.33             
142:                2646                421944              3177.59             
143:                2738                424683              3120.75             
144:                2737                427420              3212.72             
145:                2655                430076              3206.83             
146:                2652                432728              3039.89             
147:                2749                435477              3113.83             
148:                2643                438121              3212.83             
149:                2659                440781              3145.21             
150:                2676                443457              3187.9              
151:                2753                446211              3167.34             
152:                2637                448848              3115.46             
153:                3527                452376              3285.84             
154:                3407                455799              3200.79             
155:                2748                458547              3049.31             
156:                2678                461226              3245.42             
157:                2767                463993              3153.55             
158:                2971                466964              3187.25             
159:                2826                469791              3060.87             
160:                5071                474863              3165.4              
161:                2816                477680              3221.59             
162:                2676                480356              3259.11             
163:                2679                483035              3145.7              
164:                3103                486139              3247.15             
165:                2636                488776              3251.78             
166:                2616                491392              3067.24             
167:                2659                494052              3118.0              
168:                2733                496786              3223.41             
169:                2608                499394              3241.34             
170:                2647                502042              3070.11             
171:                2639                504682              3153.07             
172:                2766                507449              3189.76             
